epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.895159,3.29255,6.86974,3.71944,0,0,0,0,0,9.95312,0,0,0,0
2,1.36346,5.54223,25.0935,5.0742,0,0,0,0,0,10.0781,0,1.9802e-05,1.9802e-05,1.9802e-05
3,1.88221,3.91499,27.8753,5.90065,0,0,0,0,0,10.1953,0,3.9208e-05,3.9208e-05,3.9208e-05
4,3.21423,3.61864,6.59734,3.66419,0,0,0,0,0,13.75,0,5.8218e-05,5.8218e-05,5.8218e-05
5,4.07337,4.34364,8.06397,3.82852,0,0,0,0,0,14.3281,0,7.6832e-05,7.6832e-05,7.6832e-05
6,4.91007,3.82191,5.39657,3.90214,0,0,0,0,0,26.9062,0,9.505e-05,9.505e-05,9.505e-05
7,6.38467,3.33443,11.2042,4.38741,0,0,0,0,0,26.7969,0,0.000112872,0.000112872,0.000112872
8,7.97991,4.63561,9.30018,4.99977,0,0,0,0,0,34.375,0,0.000130298,0.000130298,0.000130298
9,9.65838,3.28286,3.28771,3.04566,0,0,0,0,0,34.375,0,0.000147328,0.000147328,0.000147328
10,11.3847,2.89923,6.33883,3.00185,0,0,0,0,0,27.9688,0,0.000163962,0.000163962,0.000163962
11,13.9266,3.24777,4.34089,3.07203,0,0,0,0,0,27.9688,0,0.0001802,0.0001802,0.0001802
12,15.7489,3.94101,6.73395,4.23186,0,0,0,0,0,28.2031,0,0.000196042,0.000196042,0.000196042
13,17.1749,2.44093,6.46432,2.80357,0,0,0,0,0,28.2031,0,0.000211488,0.000211488,0.000211488
14,17.965,2.54338,4.28249,2.68414,0,0,0,0,0,38.2812,0,0.000226538,0.000226538,0.000226538
15,18.7702,2.5638,2.76437,2.63488,0,0,0,0,0,38.2812,0,0.000241192,0.000241192,0.000241192
16,19.6086,2.11617,2.7178,2.25911,0,0,0,0,0,58.9688,0,0.00025545,0.00025545,0.00025545
17,20.4002,1.98691,3.24949,2.15805,0,0,0,0,0,58.9688,0,0.000269312,0.000269312,0.000269312
18,21.225,1.18464,2.90998,1.91903,0,0,0,0,0,64.375,0,0.000282778,0.000282778,0.000282778
19,22.6237,2.19704,2.52373,2.57463,0,0,0,0,0,64.375,0,0.000295848,0.000295848,0.000295848
20,24.4022,3.29883,3.47105,3.29092,0,0,0,0,0,39.3125,0,0.000308522,0.000308522,0.000308522
21,25.7437,1.80826,2.28909,2.37474,0,0,0,0,0,39.3125,0,0.0003208,0.0003208,0.0003208
22,27.6553,1.68539,2.36896,1.92599,0,0,0,0,0,31.625,0,0.000332682,0.000332682,0.000332682
23,28.9047,1.24907,1.82659,1.76867,0,0,0,0,0,31.625,0,0.000344168,0.000344168,0.000344168
24,29.8707,1.23206,2.53451,1.79295,0,0,0,0,0,31.625,0,0.000355258,0.000355258,0.000355258
25,30.8414,1.90281,2.18217,2.46273,0,0,0,0,0,32.4375,0,0.000365952,0.000365952,0.000365952
26,32.1695,1.52875,6.78161,1.70135,0,0,0,0,0,32.4375,0,0.00037625,0.00037625,0.00037625
27,33.0336,1.42847,2.11731,1.85799,0,0,0,0,0,32.4375,0,0.000386152,0.000386152,0.000386152
28,33.8936,1.4602,1.93673,1.97075,0,0,0,0,0,23.8281,0,0.000395658,0.000395658,0.000395658
29,35.7135,0.65323,3.03965,1.28021,0,0,0,0,0,23.8281,0,0.000404768,0.000404768,0.000404768
30,36.5203,1.07845,2.78777,1.49016,0,0,0,0,0,23.8281,0,0.000413482,0.000413482,0.000413482
31,38.376,1.07197,2.29406,1.62401,0,0,0,0,0,13.75,0,0.0004218,0.0004218,0.0004218
